country,iso3,region,HealthExpPC.Govt.exch,HealthExpPC.Tot.ppp,HealthExpPC.Govt.ppp,HealthExpPC.Tot.exch,total,govt,private,sex,lifeexp.Birth,lifeexp.At60,smoking.tobacco.current,smoking.tobacco.daily,smoking.cig.current,smoking.cig.daily,Pop.Total,Pop.MedAge,Pop.pCntUnder15,Pop.pCntOver60,Pop.pCntAnnGrowth,consumption.cigPC,hiv_prev15_49
Burkina Faso,BFA,AFR,18.7,81.15,40.79,37.21,81.15,40.79,40.36,BTSX,56,15,13,12,7,5,16460,17.01,45.66,3.88,-2.9,109,1.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,AFR,18.7,81.15,40.79,37.21,81.15,40.79,40.36,MLE,54,14,18,16,13,10,16460,17.01,45.66,3.88,-2.9,109,1.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,SEAR,9.71,67.27,24.61,26.54,67.27,24.61,42.66,FMLE,70,18,2,2,0,0,155000,24.7,30.57,6.89,-1.3,154,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,SEAR,9.71,67.27,24.61,26.54,67.27,24.61,42.66,BTSX,70,18,24,22,14,12,155000,24.7,30.57,6.89,-1.3,154,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,SEAR,9.71,67.27,24.61,26.54,67.27,24.61,42.66,MLE,69,18,46,42,28,24,155000,24.7,30.57,6.89,-1.3,154,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,EUR,288.47,1063.99,588.51,521.53,1063.99,588.51,475.48,FMLE,78,22,27,22,27,22,7278,42.84,13.53,26.11,0.8,2822,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,EUR,288.47,1063.99,588.51,521.53,1063.99,588.51,475.48,MLE,71,17,48,42,48,42,7278,42.84,13.53,26.11,0.8,2822,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,EUR,288.47,1063.99,588.51,521.53,1063.99,588.51,475.48,BTSX,74,20,37,32,37,32,7278,42.84,13.53,26.11,0.8,2822,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,EMR,525.41,825.62,586.44,739.71,825.62,586.44,239.18,BTSX,79,22,21,19,18,15,1318,30.07,20.16,3.38,-1.9,661,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,EMR,525.41,825.62,586.44,739.71,825.62,586.44,239.18,FMLE,80,23,8,7,7,6,1318,30.07,20.16,3.38,-1.9,661,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,EMR,525.41,825.62,586.44,739.71,825.62,586.44,239.18,MLE,78,21,34,30,29,23,1318,30.07,20.16,3.38,-1.9,661,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,AMR,806.06,2473.18,1157.01,1722.99,2473.18,1157.01,1316.17,FMLE,78,24,NA,NA,NA,NA,372,31.54,21.62,11.24,-1.6,288,2.8
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,AMR,806.06,2473.18,1157.01,1722.99,2473.18,1157.01,1316.17,BTSX,75,22,NA,NA,NA,NA,372,31.54,21.62,11.24,-1.6,288,2.8
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,AMR,806.06,2473.18,1157.01,1722.99,2473.18,1157.01,1316.17,MLE,72,21,NA,NA,NA,NA,372,31.54,21.62,11.24,-1.6,288,2.8
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,EUR,335.2,928.78,631.98,492.61,928.78,631.98,296.8,BTSX,76,20,41,37,41,37,3834,39.23,16.35,20.52,0.1,2278,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,EUR,335.2,928.78,631.98,492.61,928.78,631.98,296.8,FMLE,78,21,36,32,36,32,3834,39.23,16.35,20.52,0.1,2278,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,EUR,335.2,928.78,631.98,492.61,928.78,631.98,296.8,MLE,74,19,47,43,47,43,3834,39.23,16.35,20.52,0.1,2278,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,EUR,216.99,793.46,560.73,307.05,793.46,560.73,232.73,BTSX,71,18,29,25,29,25,9405,39.15,15.1,19.31,0.5,2266,0.4
,,,,,,,,,,,,,,,,,,,,,,,
